han,hex,dec
屏,5C4F,23631
屑,5C51,23633
展,5C55,23637
属,5C5E,23646
屠,5C60,23648
屡,5C61,23649
履,5C65,23653
屯,5C6F,23663
山,5C71,23665
屹,5C79,23673
屿,5C7F,23679
岁,5C81,23681
岂,5C82,23682
岌,5C8C,23692
岐,5C90,23696
岑,5C91,23697
岔,5C94,23700
岖,5C96,23702
岗,5C97,23703
岘,5C98,23704
岚,5C9A,23706
岛,5C9B,23707
岩,5CA9,23721
岭,5CAD,23725
岱,5CB1,23729
岳,5CB3,23731
岷,5CB7,23735
岸,5CB8,23736
岿,5CBF,23743
峁,5CC1,23745
峋,5CCB,23755
峙,5CD9,23769
峡,5CE1,23777
峦,5CE6,23782
峨,5CE8,23784
峪,5CEA,23786
峭,5CED,23789
峰,5CF0,23792
峻,5CFB,23803
崂,5D02,23810
崃,5D03,23811
崆,5D06,23814
崇,5D07,23815
崎,5D0E,23822
崔,5D14,23828
崖,5D16,23830
崛,5D1B,23835
崞,5D1E,23838
崤,5D24,23844
崧,5D27,23847
崩,5D29,23849
崭,5D2D,23853
崮,5D2E,23854
嵊,5D4A,23882
嵌,5D4C,23884
嵚,5D5A,23898
嵝,5D5D,23901
嵩,5D69,23913
嵯,5D6F,23919
嶙,5D99,23961
巅,5DC5,24005
巍,5DCD,24013
川,5DDD,24029
州,5DDE,24030
巡,5DE1,24033
巢,5DE2,24034
工,5DE5,24037
左,5DE6,24038
巧,5DE7,24039
巨,5DE8,24040
巩,5DE9,24041
巫,5DEB,24043
差,5DEE,24046
己,5DF1,24049
已,5DF2,24050
巳,5DF3,24051
巴,5DF4,24052
巷,5DF7,24055
巽,5DFD,24061
巾,5DFE,24062
币,5E01,24065
市,5E02,24066
布,5E03,24067
帅,5E05,24069
帆,5E06,24070
师,5E08,24072
希,5E0C,24076
帏,5E0F,24079
帐,5E10,24080
帑,5E11,24081
帕,5E15,24085
帖,5E16,24086
帘,5E18,24088
帙,5E19,24089
帚,5E1A,24090
帛,5E1B,24091
帜,5E1C,24092
帝,5E1D,24093
带,5E26,24102
